CellLine,TissueOrigin,rail_id,external_id,study,BigWigURL
CAL51,BREAST,2247830,SRR8615264,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/64/sra.base_sums.SRP186687_SRR8615264.ALL.bw
CAL33,UPPER_AERODIGESTIVE_TRACT,2247862,SRR8615265,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/65/sra.base_sums.SRP186687_SRR8615265.ALL.bw
CAL29,URINARY_TRACT,2247895,SRR8615266,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/66/sra.base_sums.SRP186687_SRR8615266.ALL.bw
CAL27,UPPER_AERODIGESTIVE_TRACT,2247928,SRR8615267,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/67/sra.base_sums.SRP186687_SRR8615267.ALL.bw
CAL148,BREAST,2247961,SRR8615268,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/68/sra.base_sums.SRP186687_SRR8615268.ALL.bw
CAL12T,LUNG,2247992,SRR8615269,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/69/sra.base_sums.SRP186687_SRR8615269.ALL.bw
CAL120,BREAST,2248215,SRR8615270,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/70/sra.base_sums.SRP186687_SRR8615270.ALL.bw
CAKI2,KIDNEY,2248247,SRR8615271,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/71/sra.base_sums.SRP186687_SRR8615271.ALL.bw
CAKI1,KIDNEY,2248279,SRR8615272,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/72/sra.base_sums.SRP186687_SRR8615272.ALL.bw
CADOES1,BONE,2248312,SRR8615273,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/73/sra.base_sums.SRP186687_SRR8615273.ALL.bw
ECGI10,OESOPHAGUS,2248343,SRR8615274,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/74/sra.base_sums.SRP186687_SRR8615274.ALL.bw
HEC1A,ENDOMETRIUM,2248375,SRR8615275,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/75/sra.base_sums.SRP186687_SRR8615275.ALL.bw
HEC151,ENDOMETRIUM,2248410,SRR8615276,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/76/sra.base_sums.SRP186687_SRR8615276.ALL.bw
HEC108,ENDOMETRIUM,2248441,SRR8615277,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/77/sra.base_sums.SRP186687_SRR8615277.ALL.bw
HDQP1,BREAST,2248474,SRR8615278,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/78/sra.base_sums.SRP186687_SRR8615278.ALL.bw
HDMYZ,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2248508,SRR8615279,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/79/sra.base_sums.SRP186687_SRR8615279.ALL.bw
HDLM2,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2248733,SRR8615280,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/80/sra.base_sums.SRP186687_SRR8615280.ALL.bw
HCT15,LARGE_INTESTINE,2248766,SRR8615281,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/81/sra.base_sums.SRP186687_SRR8615281.ALL.bw
HCT116,LARGE_INTESTINE,4497569,SRR8615282,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/82/sra.base_sums.SRP186687_SRR8615282.ALL.bw
HCC95,LUNG,4497633,SRR8615283,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/83/sra.base_sums.SRP186687_SRR8615283.ALL.bw
HCC827,LUNG,4497696,SRR8615284,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/84/sra.base_sums.SRP186687_SRR8615284.ALL.bw
EJM,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4497761,SRR8615285,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/85/sra.base_sums.SRP186687_SRR8615285.ALL.bw
EKVX,LUNG,4497828,SRR8615286,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/86/sra.base_sums.SRP186687_SRR8615286.ALL.bw
EFO27,OVARY,4497891,SRR8615287,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/87/sra.base_sums.SRP186687_SRR8615287.ALL.bw
EHEB,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4497954,SRR8615288,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/88/sra.base_sums.SRP186687_SRR8615288.ALL.bw
EFM19,BREAST,4498016,SRR8615289,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/89/sra.base_sums.SRP186687_SRR8615289.ALL.bw
EFO21,OVARY,2249246,SRR8615290,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/90/sra.base_sums.SRP186687_SRR8615290.ALL.bw
EFE184,ENDOMETRIUM,2249278,SRR8615291,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/91/sra.base_sums.SRP186687_SRR8615291.ALL.bw
EFM192A,BREAST,2249311,SRR8615292,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/92/sra.base_sums.SRP186687_SRR8615292.ALL.bw
EM2,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2249341,SRR8615293,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/93/sra.base_sums.SRP186687_SRR8615293.ALL.bw
EN,ENDOMETRIUM,2249372,SRR8615294,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/94/sra.base_sums.SRP186687_SRR8615294.ALL.bw
PK45H,PANCREAS,4498784,SRR8615295,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/95/sra.base_sums.SRP186687_SRR8615295.ALL.bw
PK1,PANCREAS,2249438,SRR8615296,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/96/sra.base_sums.SRP186687_SRR8615296.ALL.bw
DU4475,BREAST,4498912,SRR8615297,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/97/sra.base_sums.SRP186687_SRR8615297.ALL.bw
PECAPJ41CLONED2,UPPER_AERODIGESTIVE_TRACT,2249502,SRR8615298,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/98/sra.base_sums.SRP186687_SRR8615298.ALL.bw
PECAPJ34CLONEC12,UPPER_AERODIGESTIVE_TRACT,2249534,SRR8615299,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/99/sra.base_sums.SRP186687_SRR8615299.ALL.bw
DU145,PROSTATE,2252830,SRR8615300,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/00/sra.base_sums.SRP186687_SRR8615300.ALL.bw
PC9,LUNG,2252862,SRR8615301,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/01/sra.base_sums.SRP186687_SRR8615301.ALL.bw
PFEIFFER,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4505760,SRR8615302,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/02/sra.base_sums.SRP186687_SRR8615302.ALL.bw
PF382,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2252927,SRR8615303,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/03/sra.base_sums.SRP186687_SRR8615303.ALL.bw
PEER,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2252958,SRR8615304,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/04/sra.base_sums.SRP186687_SRR8615304.ALL.bw
PECAPJ49,UPPER_AERODIGESTIVE_TRACT,2252991,SRR8615305,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/05/sra.base_sums.SRP186687_SRR8615305.ALL.bw
SNU308,BILIARY_TRACT,2253022,SRR8615306,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/06/sra.base_sums.SRP186687_SRR8615306.ALL.bw
SNU283,LARGE_INTESTINE,2253054,SRR8615307,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/07/sra.base_sums.SRP186687_SRR8615307.ALL.bw
SNU245,BILIARY_TRACT,4506144,SRR8615308,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/08/sra.base_sums.SRP186687_SRR8615308.ALL.bw
SNU216,STOMACH,2253118,SRR8615309,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/09/sra.base_sums.SRP186687_SRR8615309.ALL.bw
SNU398,LIVER,4506657,SRR8615310,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/10/sra.base_sums.SRP186687_SRR8615310.ALL.bw
SNU387,LIVER,2253375,SRR8615311,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/11/sra.base_sums.SRP186687_SRR8615311.ALL.bw
SNU349,KIDNEY,2253407,SRR8615312,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/12/sra.base_sums.SRP186687_SRR8615312.ALL.bw
SNU324,PANCREAS,2253439,SRR8615313,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/13/sra.base_sums.SRP186687_SRR8615313.ALL.bw
NALM1,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2253471,SRR8615314,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/14/sra.base_sums.SRP186687_SRR8615314.ALL.bw
CAL54,KIDNEY,4506976,SRR8615315,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/15/sra.base_sums.SRP186687_SRR8615315.ALL.bw
SNU410,PANCREAS,2253535,SRR8615316,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/16/sra.base_sums.SRP186687_SRR8615316.ALL.bw
SNU407,LARGE_INTESTINE,2253567,SRR8615317,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/17/sra.base_sums.SRP186687_SRR8615317.ALL.bw
NALM19,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4507169,SRR8615318,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/18/sra.base_sums.SRP186687_SRR8615318.ALL.bw
HS751T,FIBROBLAST,4507233,SRR8615319,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/19/sra.base_sums.SRP186687_SRR8615319.ALL.bw
HS766T,PANCREAS,2253853,SRR8615320,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/20/sra.base_sums.SRP186687_SRR8615320.ALL.bw
HS742T,FIBROBLAST,2253883,SRR8615321,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/21/sra.base_sums.SRP186687_SRR8615321.ALL.bw
HS746T,STOMACH,2253914,SRR8615322,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/22/sra.base_sums.SRP186687_SRR8615322.ALL.bw
HS822T,FIBROBLAST,2253946,SRR8615323,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/23/sra.base_sums.SRP186687_SRR8615323.ALL.bw
HS834T,FIBROBLAST,2253979,SRR8615324,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/24/sra.base_sums.SRP186687_SRR8615324.ALL.bw
HS819T,FIBROBLAST,2254010,SRR8615325,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/25/sra.base_sums.SRP186687_SRR8615325.ALL.bw
HS821T,FIBROBLAST,2254041,SRR8615326,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/26/sra.base_sums.SRP186687_SRR8615326.ALL.bw
HS839T,FIBROBLAST,2254073,SRR8615327,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/27/sra.base_sums.SRP186687_SRR8615327.ALL.bw
HS840T,FIBROBLAST,2254105,SRR8615328,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/28/sra.base_sums.SRP186687_SRR8615328.ALL.bw
NCIH1105,LUNG,2254139,SRR8615329,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/29/sra.base_sums.SRP186687_SRR8615329.ALL.bw
SF767,CERVIX,2254363,SRR8615330,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/30/sra.base_sums.SRP186687_SRR8615330.ALL.bw
NCIH1092,LUNG,2254395,SRR8615331,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/31/sra.base_sums.SRP186687_SRR8615331.ALL.bw
UOK101,KIDNEY,2254426,SRR8615332,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/32/sra.base_sums.SRP186687_SRR8615332.ALL.bw
UO31,KIDNEY,2254458,SRR8615333,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/33/sra.base_sums.SRP186687_SRR8615333.ALL.bw
UMUC3,URINARY_TRACT,2254489,SRR8615334,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/34/sra.base_sums.SRP186687_SRR8615334.ALL.bw
UMUC1,URINARY_TRACT,2254522,SRR8615335,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/35/sra.base_sums.SRP186687_SRR8615335.ALL.bw
UBLC1,URINARY_TRACT,2254555,SRR8615336,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/36/sra.base_sums.SRP186687_SRR8615336.ALL.bw
UACC893,BREAST,2254586,SRR8615337,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/37/sra.base_sums.SRP186687_SRR8615337.ALL.bw
UACC812,BREAST,2254617,SRR8615338,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/38/sra.base_sums.SRP186687_SRR8615338.ALL.bw
UACC62,SKIN,2254651,SRR8615339,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/39/sra.base_sums.SRP186687_SRR8615339.ALL.bw
UACC257,SKIN,2254875,SRR8615340,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/40/sra.base_sums.SRP186687_SRR8615340.ALL.bw
NCIH1048,LUNG,2254907,SRR8615341,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/41/sra.base_sums.SRP186687_SRR8615341.ALL.bw
NCCSTCK140,STOMACH,2254937,SRR8615342,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/42/sra.base_sums.SRP186687_SRR8615342.ALL.bw
NB4,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2254969,SRR8615343,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/43/sra.base_sums.SRP186687_SRR8615343.ALL.bw
NB1,AUTONOMIC_GANGLIA,2255000,SRR8615344,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/44/sra.base_sums.SRP186687_SRR8615344.ALL.bw
NAMALWA,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2255030,SRR8615345,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/45/sra.base_sums.SRP186687_SRR8615345.ALL.bw
NALM6,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2255062,SRR8615346,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/46/sra.base_sums.SRP186687_SRR8615346.ALL.bw
KMS26,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2255094,SRR8615347,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/47/sra.base_sums.SRP186687_SRR8615347.ALL.bw
KMS27,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2255126,SRR8615348,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/48/sra.base_sums.SRP186687_SRR8615348.ALL.bw
KMS20,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2255157,SRR8615349,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/49/sra.base_sums.SRP186687_SRR8615349.ALL.bw
KMS21BM,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2255380,SRR8615350,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/50/sra.base_sums.SRP186687_SRR8615350.ALL.bw
KMS12BM,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2255412,SRR8615351,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/51/sra.base_sums.SRP186687_SRR8615351.ALL.bw
KMS18,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2255442,SRR8615352,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/52/sra.base_sums.SRP186687_SRR8615352.ALL.bw
KMRC3,KIDNEY,2255474,SRR8615353,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/53/sra.base_sums.SRP186687_SRR8615353.ALL.bw
KMS11,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2255505,SRR8615354,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/54/sra.base_sums.SRP186687_SRR8615354.ALL.bw
KMRC20,KIDNEY,2255537,SRR8615355,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/55/sra.base_sums.SRP186687_SRR8615355.ALL.bw
